,name,CHAL1_ans,CHAL1_txt,Primary cycle code,CHAL1_con,CHAL1_lik,CHAL2_ans,CHAL2_txt,Primary cycle code,CHAL2_con,CHAL2_lik
941,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),the longevity of the option has a long lasting solution i could combine w/ mortgage payments,long lasting,very confident,likely,yes,avoidance of the heightened probability of having to pay for damages unplanned and out of pocket,avoid damage and its costs,very confident,likely
943,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),It seems like the best way to handle the situation.,logical choice,very confident,unlikely,no,It does not seem likely there we be a flooding in my area.,low risk of flooding,very confident,about as likely as not
945,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),More cost effective,cost effective,very confident,very likely,yes,"Rainfall increases, if water isn't able to drain, then there will be flooding.",increase in rainfall,moderately confident,likely
956,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,I think so,feels right,extremely confident,very likely,no,Due to high insurance cost,too expensive,extremely confident,very likely
964,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,better to be prepared ,to be prepared and protect,moderately confident,very likely,yes,smarter due to the price of damage may be higher,cost effective,moderately confident,very likely
965,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),More rain,increase in rainfall,moderately confident,likely,yes,More rain in the future,increase in rainfall,moderately confident,virtually certain
966,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),"In the future, there will be more heavy rainfall events so it’s better to be protected. Paving the driving is the best option for cost ",cost benefit analysis,extremely confident,virtually certain,yes,It is clear the chances of a flood is high. It would be better to buy insurance as it would be more costly if I did not ,cost benefit analysis,very confident,virtually certain
974,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,It is very valuable and effective ,cost effective,very confident,very likely,yes,It was very informative ,?,very confident,very likely
976,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Fix it now and not worry about it again ,fix and forget,very confident,virtually certain,yes,Every 10 years is getting to be every 7 or 8 years now ,increase in risk of flood(s),moderately confident,likely
979,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Facts,the description,very confident,likely,yes,Its gna rain more,increase in rainfall,very confident,very likely
983,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,I might get the most value out of this.,best economic choice,moderately confident,likely,yes,It's possible the rainfall would somewhat increase.,increase in rainfall,very confident,likely
997,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Because I think it is right,feels right,very confident,likely,yes,Because I need it,to be prepared and protect,very confident,likely
1005,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),To keep my family safe,protection of home and family,extremely confident,virtually certain,yes,It's showing how the heavy rain fall will increase ,increase in rainfall,extremely confident,virtually certain
1019,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),best cost effective choice,best economic choice,moderately confident,about as likely as not,no,live on a hill,confusion about personal home,moderately confident,about as likely as not
